cGMP,current,"current, bottom of error bar","current, top of error bar"
9.933447482,0.023263624,0.003295841,0.042467203
20.04933627,0.120927407,0.048581572,0.18576008
34.57004939,0.326071997,0.189056141,0.452309214
49.48801109,0.490733156,0.340912577,0.635383706
72.912166,0.664087941,0.531216936,0.793640743
98.58253917,0.749169611,0.651127866,0.847598221
145.2780494,0.845143194,0.7808397,0.89794174
196.3812409,0.897306954,0.854428681,0.938876466
478.5198964,0.966954963,0.954523541,0.980380202
